"iata","airport"
"AGZ","Aggeneys Airport"
"AHB","Abha Regional Airport"
"AHC","Amedee Army Airfield"
"AHD","Ardmore Downtown Executive Airport"
"AHE","Ahe Airport"
"AHF","Arapahoe Municipal Airport"
"AHH","Amery Municipal Airport"
"AHI","Amahai Airport"
"AHJ","Hongyuan Airport"
"AHL","Aishalton Airport"
"AHM","Ashland Municipal Airport"
"AHN","Athens Ben Epps Airport"
"AHO","Alghero-Fertilia Airport"
"AHS","Ahuas Airport"
"AHU","Cherif Al Idrissi Airport"
"AHY","Ambatolahy Airport"
"AHZ","Alpe d'Huez Airport"
"AIA","Alliance Municipal Airport"
"AIC","Ailinglaplap Airok Airport"
"AID","Anderson Municipal Airport (Darlington Field)"
"AIE","Aiome Airport"
"AIF","Assis Airport"
"AIG","Yalinga Airport"
"AIH","Aiambak Airport"
"AII","Ali-Sabieh Airport"
"AIK","Aiken Municipal Airport"
"AIL","Ailigandi Airport"
"AIM","Ailuk Airport"
"AIN","Wainwright Airport"
"AIO","Atlantic Municipal Airport"
"AIP","Adampur Airport"
"AIR","Aripuana Airport"
"AIS","Arorae Island Airport"
"AIT","Aitutaki Airport"
"AIU","Enua Airport"
"AIV","George Downer Airport"
"AIW","Ai-Ais Airport"
"AIZ","Lee C. Fine Memorial Airport"
"AJA","Ajaccio Napoleon Bonaparte Airport"
"AJF","Al-Jawf Domestic Airport"
"AJI","Agri Airport"
"AJJ","Akjoujt Airport"
"AJK","Arak Airport"
"AJL","Lengpui Airport"
"AJN","Ouani Airport"
"AJR","Arvidsjaur Airport"
"AJS","MX86","Punta Abreojos Airstrip"
"AJU","Santa Maria Airport (Sergipe)"
"AJY","Mano Dayak International Airport"
"AKA","Ankang Wulipu Airport"
"AKB","Atka Airport"
"AKC","Akron Fulton International Airport"
"AKD","Akola Airport"
"AKE","Akieni Airport"
"AKF","Kufra Airport"
"AKG","Anguganak Airport"
"AKH","Prince Sultan Air Base"
"AKI","Akiak Airport"
"AKJ","Asahikawa Airport"
"AKK","Akhiok Airport"
"AKL","Auckland Airport"
"AKM","Zakouma Airport"
"AKN","King Salmon Airport"
"AKO","Colorado Plains Regional Airport"
"AKP","Anaktuvuk Pass Airport"
"AKQ","Gunung Batin Airport"
"AKR","Akure Airport"
"AKS","Auki Gwaunaru'u Airport"
"AKT","RAF Akrotiri"
"AKU","Aksu Airport"
"AKV","Akulivik Airport"
"AKW","Aghajari Airport"
"AKX","Aktobe Airport"
"AKY","Sittwe Airport"
"ALA","Almaty International Airport"
"ALB","Albany International Airport"
"ALC","Alicante-Elche Airport"
"ALD","Alerta Airport"
"ALE","Alpine-Casparis Municipal Airport"
