"iata","airport"
"CUO","Caruru Airport"
"CUP","General Jose Francisco Bermudez Airport"
"CUQ","Coen Airport"
"CUR","Curacao International Airport (Hato Int'l Airport)"
"CUT","Cutral Co Airport"
"CUU","General Roberto Fierro Villalobos International Airport"
"CUV","Casigua El Cubo Airport"
"CUX","Cuddihy Field"
"CUY","Cue Airport"
"CUZ","Alejandro Velasco Astete International Airport"
"CVB","Chungrebu Airport"
"CVC","Cleve Airport"
"CVE","Covenas Airport"
"CVF","Courchevel Altiport"
"CVG","Cincinnati/Northern Kentucky International Airport"
"CVH","Caviahue Airport"
"CVI","Caleta Olivia Airport"
"CVJ","General Mariano Matamoros Airport"
"CVL","Cape Vogel Airport"
"CVM","General Pedro J. Mendez International Airport"
"CVN","Clovis Municipal Airport"
"CVO","Corvallis Municipal Airport"
"CVQ","Carnarvon Airport"
"CVS","Cannon Air Force Base"
"CVT","Coventry Airport"
"CVU","Corvo Airport"
"CWA","Central Wisconsin Airport"
"CWB","Afonso Pena International Airport"
"CWC","Chernivtsi International Airport"
"CWF","Chennault International Airport"
"CWI","Clinton Municipal Airport"
"CWJ","Cangyuan Washan Airport"
"CWL","Cardiff Airport"
"CWR","Cowarie Airport"
"CWS","Center Island Airport"
"CWT","Cowra Airport"
"CWW","Corowa Airport"
"CWX","Cochise County Airport"
"CXA","Caicara del Orinoco Airport"
"CXB","Cox's Bazar Airport"
"CXC","Chitina Airport"
"CXF","Coldfoot Airport"
"CXH","Vancouver Harbour Flight Centre (Coal Harbour Seaplane Base)"
"CXI","Cassidy International Airport"
"CXJ","Caxias do Sul Airport (Hugo Cantergiani Regional Airport)"
"CXL","Calexico International Airport"
"CXN","Candala Airport"
"CXO","Lone Star Executive Airport"
"CXP","Tunggul Wulung Airport"
"CXQ","Christmas Creek Stn Airport"
"CXR","Cam Ranh International Airport"
"CXT","Charters Towers Airport"
"CXY","Cat Cay Airport"
"CYA","Antoine-Simon Airport"
"CYB","Charles Kirkconnell International Airport"
"CYC","Caye Chapel Airport"
"CYD","San Ignacio Town Airstrip"
"CYF","Chefornak Airport"
"CYG","Corryong Airport"
"CYI","Chiayi Airport"
"CYL","Coyoles Airport"
"CYM","Chatham Seaplane Base"
"CYO","Vilo Acuna Airport"
"CYP","Calbayog Airport"
"CYR","Colonia Airport (Laguna de los Patos Intn'l Airport)"
"CYS","Cheyenne Regional Airport (Jerry Olson Field)"
"CYT","Yakataga Airport"
"CYU","Cuyo Airport"
"CYW","Captain Rogelio Castillo National Airport"
"CYX","Chersky Airport"
"CYZ","Cauayan Airport"
"CZA","Chichen Itza International Airport"
"CZB","Carlos Ruhl Airport"
"CZC","Copper Center 2 Airport"
"CZE","Jose Leonardo Chirino Airport"
"CZF","Cape Romanzof LRRS Airport"
"CZH","Corozal Airport"
"CZJ","Corazon de Jesus Airport"
"CZK","Cascade Locks State Airport"
"CZL","Mohamed Boudiaf International Airport"
"CZM","Cozumel International Airport"
"CZN","Chisana Airport"
"CZO","Chistochina Airport"
"CZP","Cape Pole Seaplane Base"
"CZS","Cruzeiro do Sul International Airport"
"CZT","Dimmit County Airport"
"CZU","Las Brujas Airport"
"CZW","Czestochowa-Rudniki Airport"
"CZX","Changzhou Benniu Airport"
"CZY","Cluny Airport"
"DAA","Davison Army Airfield"
"DAB","Daytona Beach International Airport"
"DAC","Hazrat Shahjalal International Airport"
"DAD","Da Nang International Airport"
"DAF","Daup Airport"
"DAG","Barstow-Daggett Airport"
"DAH","Dathina Airport"
"DAK","Dakhla Oasis Airport"
"DAL","Dallas Love Field"
"DAM","Damascus International Airport"
"DAN","Danville Regional Airport"
"DAO","Dabo Airport"
"DAP","Darchula Airport"
"DAR","Julius Nyerere International Airport"
"DAS","Great Bear Lake Airport"
"DAT","Datong Yungang Airport"
"DAU","Daru Airport"
"DAV","Enrique Malek International Airport"
"DAX","Dazhou Heshi Airport"
"DAY","Dayton International Airport"
"DAZ","Darwaz Airport"
"DBA","Dalbandin Airport"
"DBB","Al Alamain International Airport"
"DBC","Baicheng Chang'an Airport"
"DBD","Dhanbad Airport"
"DBK","Dutch Bay Seaplane Base"
"DBM","Debre Marqos Airport"
"DBN","W. H. 'Bud' Barron Airport"
"DBO","Dubbo City Regional Airport"
"DBP","Debepare Airport"
"DBQ","Dubuque Regional Airport"
"DBR","Darbhanga Airport"
"DBS","Dubois Municipal Airport"
"DBT","Debre Tabor Airport"
"DBU","Dambulu Oya Tank Seaplane Base"
"DBV","Dubrovnik Airport"
"DBY","Dalby Airport"
"DCA","Ronald Reagan Washington National Airport"
"DCF","Canefield Airport"
"DCG","Dubai Creek Seaplane Base"
"DCI","Decimomannu Air Base"
"DCK","Dahl Creek Airport"
"DCM","Castres-Mazamet Airport"
"DCN","RAAF Base Curtin"
"DCT","Duncan Town Airport"
"DCU","Pryor Field Regional Airport"
"DCY","Daocheng Yading Airport"
"DDC","Dodge City Regional Airport"
"DDG","Dandong Langtou Airport"
"DDM","Dodoima Airport"
"DDN","Delta Downs Airport"
"DDU","Dadu Airport"
"DEA","Dera Ghazi Khan International Airport"
"DEB","Debrecen International Airport"
"DEC","Decatur Airport"
"DED","Jolly Grant Airport"
"DEE","Yuzhno-Kurilsk Mendeleyevo Airport"
"DEF","Dezful Airport"
"DEH","Decorah Municipal Airport"
"DEI","Denis Island Airport"
"DEL","Indira Gandhi International Airport"
"DEM","Dembidolo Airport"
"DEN","Denver International Airport"
"DEP","Daporijo Airport"
"DER","Derim Airport"
"DES","Desroches Airport"
"DEX","Nop Goliath Airport"
"DEZ","Deir ez-Zor Airport"
"DFI","Defiance Memorial Airport"
"DFP","Drumduff Airport"
"DFW","Dallas/Fort Worth International Airport"
"DGA","Dangriga Airport"
"DGC","Degeh Bur Airport"
"DGD","Dalgaranga Airport"
"DGE","Mudgee Airport"
"DGF","Douglas Lake Airport"
"DGK","Dugong Beach Lodge Airstrip"
"DGL","Douglas Municipal Airport"
"DGM","Dandugama Seaplane Base"
"DGN","Naval Surface Warfare Center Dahlgren Division"
"DGO","General Guadalupe Victoria International Airport"
"DGP","Daugavpils International Airport"
"DGR","Dargaville Aerodrome"
"DGT","Sibulan Airport (Dumaguete Airport)"
"DGU","Dedougou Airport"
"DGW","Converse County Airport"
"DHA","King Abdulaziz Air Base"
"DHB","Deer Harbor Sea Plane Base"
"DHD","Durham Downs Airport"
"DHF","Al Dhafra Air Base"
"DHI","Dhangadhi Airport"
"DHL","Dhala Airport"
"DHM","Gaggal Airport"
"DHN","Dothan Regional Airport"
"DHR","De Kooy Airfield"
"DHT","Dalhart Municipal Airport"
"DIA","Doha International Airport"
"DIB","Dibrugarh Airport (Mohanbari Airport)"
"DIE","Arrachart Airport"
"DIG","Diqing Shangri-La Airport"
"DIJ","Dijon Air Base"
"DIK","Dickinson Theodore Roosevelt Regional Airport"
"DIL","Presidente Nicolau Lobato International Airport"
"DIM","Dimbokro Airport"
"DIN","Dien Bien Phu Airport"
"DIP","Diapaga Airport"
"DIQ","Divinopolis Airport (Brigadeiro Cabral Airport)"
"DIR","Aba Tenna Dejazmach Yilma International Airport"
"DIS","Dolisie Airport"
"DIU","Diu Airport"
"DIV","Divo Airport"
"DIW","Mawella Lagoon Seaplane Base"
"DIY","Diyarbakir Airport"
"DJA","Djougou Airport"
"DJB","Sultan Thaha Airport"
"DJE","Djerba-Zarzis International Airport"
"DJG","Tiska Djanet Airport"
"DJH","Jebel Ali Seaplane Base"
"DJJ","Sentani Airport"
"DJM","Djambala Airport"
"DJN","Delta Junction Airport"
"DJO","Daloa Airport"
"DJU","Djupivogur Airport"
"DKA","Katsina Airport"
"DKI","Dunk Island Airport"
"DKK","Chautauqua County/Dunkirk Airport"
"DKR","Leopold Sedar Senghor International Airport"
"DKS","Dikson Airport"
"DKV","Docker River Airport"
"DLA","Douala International Airport"
"DLB","Dalbertis Airport"
"DLC","Dalian Zhoushuizi International Airport"
"DLE","Dole-Jura Airport"
"DLF","Laughlin Air Force Base"
"DLG","Dillingham Airport"
"DLH","Duluth International Airport"
"DLI","Lien Khuong Airport"
"DLK","Dulkaninna Airport"
"DLL","Dillon County Airport"
"DLM","Dalaman Airport"
"DLN","Dillon Airport"
"DLS","Columbia Gorge Regional Airport (The Dalles Municipal Airport)"
"DLU","Dali Airport"
"DLV","Delissaville Airport"
"DLY","Dillon's Bay Airport"
"DLZ","Dalanzadgad Airport"
"DMA","Davis-Monthan Air Force Base"
"DMB","Taraz Airport (Jambyl Airport)"
"DMD","Doomadgee Airport"
"DMK","Don Mueang International Airport"
"DMM","King Fahd International Airport"
"DMN","Deming Municipal Airport"
"DMO","Sedalia Regional Airport"
"DMR","Dhamar Airport"
"DMT","Diamantino Airport"
"DMU","Dimapur Airport"
"DNA","Kadena Air Base"
"DNB","Dunbar Airport"
"DND","Dundee Airport"
"DNF","Martuba Air Base"
"DNG","Doongan Airport"
"DNH","Dunhuang Airport"
"DNI","Wad Medani Airport"
"DNK","Dnipropetrovsk International Airport"
"DNL","Daniel Field"
"DNM","Denham Airport"
"DNN","Dalton Municipal Airport"
"DNO","Dianopolis Airport"
"DNP","Tribhuvannagar Airport (Dang Airport)"
"DNQ","Deniliquin Airport"
"DNR","Dinard-Pleurtuit-Saint-Malo Airport"
"DNS","Denison Municipal Airport"
"DNU","Dinangat Airport"
"DNV","Vermilion Regional Airport"
"DNX","Galegu Airport"
"DNZ","Denizli Cardak Airport"
"DOA","Doany Airport"
"DOB","Dobo Airport"
"DOC","Dornoch Airport"
"DOD","Dodoma Airport"
"DOE","Djoemoe Airstrip"
"DOG","Dongola Airport"
"DOH","Hamad International Airport"
"DOI","Doini Island Airport"
"DOK","Donetsk International Airport"
"DOL","Deauville - Saint-Gatien Airport"
"DOM","Douglas-Charles Airport"
"DON","Dos Lagunas Airport"
"DOO","Dorobisoro Airstrip"
"DOP","Dolpa Airport"
"DOR","Dori Airport"
"DOS","Dios Airport"
"DOU","Dourados Airport (Francisco de Matos Pereira Airport)"
"DOV","Dover Air Force Base"
"DOX","Dongara Airport"
"DOY","Dongying Shengli Airport"
"DPA","DuPage Airport"
"DPE","Dieppe - Saint-Aubin Airport"
"DPG","Michael Army Airfield"
"DPL","Dipolog Airport"
"DPO","Devonport Airport"
"DPS","Ngurah Rai International Airport"
"DPT","Deputatsky Airport"
"DPU","Dumpu Airport"
"DQA","Daqing Sartu Airport"
"DQM","Duqm International Airport"
"DRA","Desert Rock Airport"
"DRB","Derby Airport"
"DRC","Dirico Airport"
"DRD","Dorunda Airport"
"DRE","Drummond Island Airport"
"DRF","Drift River Airport"
"DRG","Deering Airport"
"DRH","Dabra Airport"
"DRI","Beauregard Regional Airport"
"DRJ","Drietabbetje Airstrip"
"DRK","Drake Bay Airport"
"DRN","Dirranbandi Airport"
"DRO","Durango-La Plata County Airport"
"DRR","Durrie Airport"
"DRS","Dresden Airport"
"DRT","Del Rio International Airport"
"DRU","Drummond Airport"
"DRV","Dharavandhoo Airport"
"DRW","Darwin International Airport"
"DRY","Drysdale River Airport"
"DSA","Robin Hood Airport Doncaster Sheffield"
"DSC","Dschang Airport"
"DSD","La Desirade Airport (Grande-Anse Airport)"
"DSE","Combolcha Airport"
"DSG","Dilasag Airport"
"DSI","Destin Executive Airport"
"DSK","Dera Ismail Khan Airport"
"DSM","Des Moines International Airport"
"DSN","Ordos Ejin Horo Airport"
"DSO","Sondok Airport"
"DSS","Blaise Diagne International Airport"
"DSV","Dansville Municipal Airport"
"DSX","Dongsha Island Airport"
"DTA","Delta Municipal Airport"
"DTB","Silangit Airport"
"DTD","Datadawai Airport"
"DTE","Bagasbas Airport"
"DTH","Furnace Creek Airport"
"DTI","Diamantina Airport"
"DTL","Detroit Lakes Airport (Wething Field)"
"DTM","Dortmund Airport"
"DTN","Shreveport Downtown Airport"
"DTR","Decatur Shores Airport"
"DTU","Wudalianchi Airport"
"DTW","Detroit Metro Wayne County Airport"
"DUA","Durant Regional Airport-Eaker Field"
"DUB","Dublin Airport"
"DUC","Halliburton Field"
"DUD","Dunedin International Airport"
"DUE","Dundo Airport"
"DUF","Pine Island Airport"
"DUG","Bisbee Douglas International Airport"
"DUJ","DuBois Regional Airport"
"DUK","Dukuduku Airport"
"DUM","Pinang Kampai Airport"
"DUQ","Duncan Airport"
"DUR","King Shaka International Airport"
"DUS","Dusseldorf Airport"
"DUT","Unalaska Airport"
"DVD","Andavadoaka Airport"
"DVK","Diavik Airport"
"DVL","Devils Lake Regional Airport (Devils Lake Municipal Airport)"
"DVN","Davenport Municipal Airport"
"DVO","Francisco Bangoy International Airport"
"DVP","Davenport Downs Airport"
"DVR","Daly River Airport"
"DVT","Phoenix Deer Valley Airport"
"DWA","Dwanga Airport (Dwangwa Airport)"
"DWB","Soalala Airport"
"DWC","Al Maktoum International Airport"
"DWD","Dawadmi Domestic Airport (King Salman bin Abdul Aziz Domestic Airport)"
"DWH","David Wayne Hooks Memorial Airport"
"DWO","Diyawanna Oya Seaplane Base"
"DWR","Dwyer Airport"
"DXB","Dubai International Airport"
"DXD","Dixie Airport"
"DXE","Bruce Campbell Field"
"DXR","Danbury Municipal Airport"
"DYA","Dysart Airport"
"DYG","Zhangjiajie Hehua Airport"
"DYL","Doylestown Airport"
"DYM","Diamantina Lakes Airport"
"DYR","Ugolny Airport"
"DYS","Dyess Air Force Base"
"DYU","Dushanbe International Airport"
"DYW","Daly Waters Airport"
"DZA","Dzaoudzi-Pamandzi International Airport"
"DZH","Dazhou Jinya Airport"
"DZI","Codazzi Airport"
"DZN","Zhezkazgan Airport"
"DZO","Santa Bernardina International Airport"
"DZU","Dazu Air Base"
"EAA","Eagle Airport"
"EAB","Abbs Airport"
"EAE","Siwo Airport"
"EAL","Elenak Airport"
"EAM","Najran Domestic Airport"
"EAN","Phifer Airfield"
"EAR","Kearney Regional Airport"
"EAS","San Sebastian Airport"
"EAT","Pangborn Memorial Airport"
"EAU","Chippewa Valley Regional Airport"
"EBA","Marina di Campo Airport"
"EBB","Entebbe International Airport"
"EBD","El Obeid Airport"
"EBG","El Bagre Airport (El Tomin Airport)"
"EBH","El Bayadh Airport"
"EBJ","Esbjerg Airport"
"EBL","Erbil International Airport"
"EBM","El Borma Airport"
"EBN","Ebadon Airstrip"
"EBO","Ebon Airport"
"EBS","Webster City Municipal Airport"
"EBU","Saint-Etienne-Boutheon Airport"
"EBW","Ebolowa Airport"
"ECA","Iosco County Airport"
"ECG","Elizabeth City Regional Airport"
"ECH","Echuca Airport"
"ECI","Costa Esmeralda Airport"
"ECN","Ercan International Airport"
"ECO","El Encanto Airport"
"ECP","Northwest Florida Beaches International Airport"
"ECR","El Charco Airport"
"ECS","Mondell Field"
"EDA","Edna Bay Seaplane Base"
"EDB","El Debba Airport"
"EDD","Erldunda Airport"
"EDE","Northeastern Regional Airport"
"EDF","Elmendorf Air Force Base"
"EDI","Edinburgh Airport"
"EDK","Captain Jack Thomas/El Dorado Airport"
"EDL","Eldoret International Airport"
"EDM","La Roche-sur-Yon Aerodrome"
"EDO","Balikesir Koca Seyit Airport"
"EDQ","Erandique Airport"
"EDR","Edward River Airport"
"EDW","Edwards Air Force Base"
"EED","Needles Airport"
"EEK","Eek Airport"
"EEN","Dillant-Hopkins Airport"
"EFD","Ellington Field"
"EFG","Efogi Airport"
"EFK","Newport State Airport"
"EFL","Kefalonia International Airport"
"EFW","Jefferson Municipal Airport"
"EGA","Engati Airport"
"EGC","Bergerac Dordogne Perigord Airport"
"EGE","Eagle County Regional Airport"
"EGI","Duke Field (Eglin Auxiliary Field 3)"
"EGL","Neghelle Airport"
"EGM","Seghe Airport"
"EGN","Geneina Airport"
"EGO","Belgorod International Airport"
"EGP","Maverick County Memorial International Airport"
"EGS","Egilsstaoir Airport"
"EGV","Eagle River Union Airport"
"EGX","Egegik Airport"
"EHL","El Bolson Airport"
"EHM","Cape Newenham LRRS Airport"
"EHU","Ezhou Huahu Airport"
"EIA","Popondetta Airport"
"EIB","Eisenach-Kindel Airport"
"EIE","Yeniseysk Airport"
"EIH","Einasleigh Airport"
"EIK","Yeysk Airport"
"EIL","Eielson Air Force Base"
"EIN","Eindhoven Airport"
"EIS","Terrance B. Lettsome International Airport"
"EIY","Ein Yahav Airfield"
"EJA","Yariguies Airport"
"EJH","Al Wajh Domestic Airport"
"EJN","Ejin Banner Taolai Airport"
"EJT","Enejit Airport"
"EKA","Murray Field"
"EKB","Ekibastuz Airport"
"EKD","Elkedra Airport"
"EKE","Ekereku Airport"
"EKI","Elkhart Municipal Airport"
"EKN","Elkins-Randolph County Airport"
"EKO","Elko Regional Airport"
"EKS","Shakhtyorsk Airport"
"EKT","Eskilstuna Airport"
"EKX","Elizabethtown Regional Airport (Addington Field)"
"ELA","Eagle Lake Airport"
"ELB","Las Flores Airport"
"ELC","Elcho Island Airport"
"ELD","South Arkansas Regional Airport at Goodwin Field"
"ELE","El Real Airport"
"ELF","El Fasher Airport"
"ELG","El Golea Airport"
"ELH","North Eleuthera Airport"
"ELI","Elim Airport"
"ELJ","El Recreo Airport"
"ELK","Elk City Regional Business Airport"
"ELL","Ellisras Airport"
"ELM","Elmira/Corning Regional Airport"
"ELN","Bowers Field"
"ELO","Eldorado Airport"
"ELP","El Paso International Airport"
"ELQ","Prince Nayef bin Abdulaziz Regional Airport"
"ELR","Elelim Airport"
"ELS","East London Airport"
"ELT","El Tor Airport"
"ELU","Guemar Airport"
"ELV","Elfin Cove Seaplane Base"
"ELW","Ellamar Seaplane Base"
"ELX","El Tigre Airport"
"ELY","Ely Airport"
"ELZ","Wellsville Municipal Airport (Tarantine Field)"
"EMA","East Midlands Airport"
"EMD","Emerald Airport"
"EME","Emden Airport"
"EMG","Empangeni Airport"
"EMI","Emirau Airport"
"EMK","Emmonak Airport"
"EML","Emmen Air Base"
"EMM","Kemmerer Municipal Airport"
"EMN","Nema Airport"
"EMO","Emo Airport"
"EMP","Emporia Municipal Airport"
"EMS","Embessa Airport"
"EMT","San Gabriel Valley Airport"
"EMX","El Maiten Airport"
"EMY","HE25","El Minya Airport"
"ENA","Kenai Municipal Airport"
"ENB","Eneabba Airport"
"ENC","Nancy-Essey Airport"
"END","Vance Air Force Base"
"ENE","H. Hasan Aroeboesman Airport"
"ENF","Enontekio Airport"
"ENH","Enshi Xujiaping Airport"
"ENI","El Nido Airport"
"ENJ","El Naranjo Airport"
"ENK","Enniskillen/St Angelo Airport"
"ENL","Centralia Municipal Airport"
"ENN","Nenana Municipal Airport"
"ENO","Teniente Amin Ayub Gonzalez Airport"
"ENS","Enschede Airport Twente"
"ENT","Enewetak Auxiliary Airfield"
"ENU","Akanu Ibiam International Airport"
"ENV","Wendover Airport"
"ENW","Kenosha Regional Airport"
"ENY","Yan'an Ershilipu Airport"
"EOH","Olaya Herrera Airport"
"EOI","Eday Airport"
"EOK","Keokuk Municipal Airport"
"EOR","El Dorado Airport"
"EOS","Neosho Hugh Robinson Airport"
"EOZ","Elorza Airport"
"EPA","El Palomar Airport"
"EPG","Browns Airport"
"EPH","Ephrata Municipal Airport"
"EPL","Epinal - Mirecourt Airport"
"EPN","Epena Airport"
"EPR","Esperance Airport"
"EPS","Arroyo Barril Airport"
"EPT","Eliptamin Airport"
"EPU","Parnu Airport"
"EQS","Esquel Airport"
"ERA","Erigavo Airport"
"ERB","Pukatja Airport (Ernabella Airport)"
"ERC","Erzincan Airport"
"ERD","Berdiansk Airport"
"ERE","Erave Airport"
"ERF","Erfurt-Weimar Airport"
"ERG","Erbogachen Airport"
"ERH","Moulay Ali Cherif Airport"
"ERI","Erie International Airport (Tom Ridge Field)"
"ERL","Erenhot Saiwusu International Airport"
"ERM","Erechim Airport"
"ERN","Eirunepe Airport (Amaury Feitosa Tomaz Airport)"
"ERQ","Elrose Airport"
"ERR","Errol Airport"
"ERS","Eros Airport"
"ERT","Erdenet Airport"
"ERU","Erume Airport"
"ERV","Kerrville Municipal Airport (Louis Schreiner Field)"
"ERZ","Erzurum Airport"
"ESA","Esa'ala Airport"
"ESB","Ankara Esenboğa Airport"
"ESC","Delta County Airport"
"ESD","Orcas Island Airport"
"ESE","Ensenada Airport"
"ESF","Esler Airfield (Esler Regional Airport)"
"ESG","Dr. Luis Maria Argana International Airport"
"ESH","Brighton City Airport"
"ESI","Espinosa Airport"
"ESK","Eskisehir Airport"
"ESL","Elista Airport"
"ESM","Carlos Concha Torres International Airport"
"ESN","Easton Airport (Newnam Field)"
"ESO","Ohkay Owingeh Airport"
"ESP","StroudsburgPocono Airport"
"ESR","Ricardo Garcia Posada Airport"
"ESS","Essen/Mulheim Airport"
"EST","Estherville Municipal Airport"
"ESU","Essaouira-Mogador Airport"
"ESW","Easton State Airport"
"ETB","West Bend Municipal Airport"
"ETD","Etadunna Airport"
"ETE","Genda Wuha Airport"
"ETH","J. Hozman Airport"
"ETM","Ramon Airport"
"ETN","Eastland Municipal Airport"
"ETR","Santa Rosa International Airport"
"ETS","Enterprise Municipal Airport"
"ETZ","Metz-Nancy-Lorraine Airport"
"EUA","Eua Airport (Kaufana Airport)"
"EUC","Eucla Airport"
"EUE","Eureka Airport"
"EUF","Weedon Field"
"EUG","Eugene Airport (Mahlon Sweet Airport)"
"EUM","Neumunster Airport"
"EUN","Hassan I Airport"
"EUO","Paratebueno Airport"
"EUQ","Evelio Javier Airport (Antique Airport)"
"EUX","F. D. Roosevelt Airport"
"EVA","Ben Bruce Memorial Airpark"
"EVD","Eva Downs Airport"
"EVE","Harstad/Narvik Airport"
"EVG","Sveg Airport"
"EVH","Evans Head Memorial Aerodrome"
"EVM","Eveleth-Virginia Municipal Airport"
"EVN","Zvartnots International Airport"
"EVV","Evansville Regional Airport"
"EVW","Evanston-Uinta County Burns Field"
"EVX","Evreux-Fauville Air Base"
"EWB","New Bedford Regional Airport"
"EWE","Ewer Airport"
"EWI","Enarotali Airport"
"EWK","Newton City/County Airport"
"EWN","Coastal Carolina Regional Airport"
"EWO","Ewo Airport"
"EWR","Newark Liberty International Airport"
"EXI","Excursion Inlet Seaplane Base"
"EXM","Exmouth Airport"
"EXT","Exeter International Airport"
"EYK","Beloyarsk Airport"
"EYL","Yelimane Airport"
"EYP","El Alcaravan Airport"
"EYR","Yerington Municipal Airport"
"EYS","Eliye Springs Airport"
"EYW","Key West International Airport"
"EZE","Ministro Pistarini International Airport"
"EZS","Elazig Airport"
"EZV","Beryozovo Airport"
"FAA","Faranah Airport"
"FAB","Farnborough Airport"
"FAC","Faaite Airport"
"FAE","Vagar Airport"
"FAF","Felker Army Airfield"
"FAG","Fagurholsmyri Airport"
"FAH","Farah Airport"
"FAI","Fairbanks International Airport"
"FAJ","Diego Jimenez Torres Airport"
"FAK","False Island Seaplane Base"
"FAM","Farmington Regional Airport"
"FAO","Faro Airport"
"FAQ","Frieda River Airport"
"FAR","Hector International Airport"
"FAS","Faskruosfjorour Airport"
"FAT","Fresno Yosemite International Airport"
"FAU","Fahud Airport"
"FAV","Fakarava Airport"
"FAY","Fayetteville Regional Airport (Grannis Field)"
"FAZ","Fasa Airport"
"FBA","Fonte Boa Airport"
"FBD","Fayzabad Airport"
"FBE","Francisco Beltrao Airport (Paulo Abdala Airport)"
"FBG","Simmons Army Airfield"
"FBK","Ladd Army Airfield"
"FBL","Faribault Municipal Airport"
"FBM","Lubumbashi International Airport"
"FBR","Fort Bridger Airport"
"FBS","Friday Harbor Seaplane Base"
"FBY","Fairbury Municipal Airport"
"FCA","Glacier Park International Airport"
"FCB","Ficksburg Airport"
"FCH","Fresno Chandler Executive Airport"
"FCM","Flying Cloud Airport"
"FCN","Nordholz Naval Airbase"
"FCO","Rome–Fiumicino International Airport"
"FCS","Butts Army Airfield (Fort Carson)"
"FCY","Forrest City Municipal Airport"
"FDE","Forde Airport"
"FDF","Martinique Aime Cesaire International Airport"
"FDH","Friedrichshafen Airport (Bodensee Airport)"
"FDK","Frederick Municipal Airport"
"FDR","Frederick Regional Airport"
"FDU","Bandundu Airport"
"FDY","Findlay Airport"
"FEB","Sanfebagar Airport"
"FEC","Feira de Santana Airport (Gov. Joao Durval Carneiro Airport)"
"FEG","Fergana International Airport"
"FEJ","Feijo Airport"
"FEK","Ferkessedougou Airport"
"FEL","Furstenfeldbruck Air Base"
"FEN","Fernando de Noronha Airport (Gov. Carlos Wilson Airport)"
"FEP","Albertus Airport"
"FET","Fremont Municipal Airport"
"FEZ","Fes-Saiss Airport"
"FFA","First Flight Airport"
"FFD","RAF Fairford"
"FFL","Fairfield Municipal Airport"
"FFM","Fergus Falls Municipal Airport (Einar Mickelson Field)"
"FFO","Wright-Patterson Air Force Base"
"FFT","Capital City Airport"
"FFU","Futaleufu Airfield"
"FGD","Fderik Airport"
"FGI","Fagali'i Airport"
"FGU","Fangatau Airport"
"FHU","Sierra Vista Municipal Airport (Libby Army Airfield)"
"FHZ","Fakahina Airport"
"FID","Elizabeth Field"
"FIE","Fair Isle Airport"
"FIG","Fria Airport"
"FIH","N'djili Airport"
"FIK","Finke Airport"
"FIL","Fillmore Municipal Airport"
"FIN","Finschhafen Airport"
"FIZ","Fitzroy Crossing Airport"
"FJR","Fujairah International Airport"
"FKB","Karlsruhe/Baden-Baden Airport"
"FKI","Bangoka International Airport"
"FKJ","Fukui Airport"
"FKL","Venango Regional Airport (Chess Lamberton Field)"
"FKN","Franklin Municipal-John Beverly Rose Airport"
"FKQ","Fakfak Torea Airport"
"FKS","Fukushima Airport"
"FLA","Gustavo Artunduaga Paredes Airport"
"FLB","Cangapara Airport"
"FLD","Fond du Lac County Airport"
"FLF","Flensburg-Schaferhaus Airport"
"FLG","Flagstaff Pulliam Airport"
"FLI","Holt Airport"
"FLL","Fort Lauderdale-Hollywood International Airport"
"FLM","Filadelfia Airport"
"FLN","Hercilio Luz International Airport"
"FLO","Florence Regional Airport"
"FLP","Marion County Regional Airport"
"FLR","Florence Airport"
"FLS","Flinders Island Airport"
"FLT","Flat Airport"
"FLV","Sherman Army Airfield"
"FLW","Flores Airport"
"FLX","Fallon Municipal Airport"
"FLY","Finley Airport"
"FLZ","Ferdinand Lumban Tobing Airport"
"FMA","Formosa International Airport (El Pucu Airport)"
"FME","Tipton Airport"
"FMH","Otis Air National Guard Base"
"FMI","Kalemie Airport"
"FMM","Memmingen Airport"
"FMN","Four Corners Regional Airport"
"FMO","Munster Osnabruck International Airport"
"FMS","Fort Madison Municipal Airport"
"FMU","Florence Municipal Airport"
"FMY","Page Field"
"FNA","Lungi International Airport"
"FNB","Neubrandenburg Airport"
"FNC","Madeira Airport"
"FND","Funadhoo Airport"
"FNE","Fane Airport"
"FNG","Fada N'gourma Airport"
"FNH","Fincha Airport"
"FNI","Nimes-Ales-Camargue-Cevennes Airport (Garons Airport)"
"FNJ","Pyongyang Sunan International Airport"
"FNL","Northern Colorado Regional Airport"
"FNR","Funter Bay Seaplane Base"
"FNT","Bishop International Airport"
"FNU","Oristano-Fenosu Airport"
"FOA","Foula Airfield"
"FOB","Fort Bragg Airport"
"FOC","Fuzhou Changle International Airport"
"FOD","Fort Dodge Regional Airport"
"FOE","Topeka Regional Airport"
"FOG","Foggia Gino Lisa Airport"
"FOK","Francis S. Gabreski Airport"
"FOM","Foumban Nkounja Airport"
"FON","La Fortuna Airport"
"FOO","Kornasoren Airport (Numfoor Airport)"
"FOR","Pinto Martins - Fortaleza International Airport"
"FOS","Forrest Airport"
"FOT","Forster (Wallis Island) Airport"
"FOU","Fougamou Airport"
"FOY","Foya Airport"
"FPO","Grand Bahama International Airport"
"FPR","St. Lucie County International Airport"
"FPY","Perry-Foley Airport"
"FRA","Frankfurt Airport"
"FRB","Forbes Airport"
"FRC","Franca Airport (Ten. Lund Presotto-Franca State Airport)"
"FRD","Friday Harbor Airport"
"FRE","Fera Airport (Fera/Maringe Airport)"
"FRG","Republic Airport"
